时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-31 00:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:00:00,5,报警,低炉温焚烧,报警
2025-01-31 00:00:00,4,报警,低炉温焚烧,报警
2025-01-31 00:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:00:00,5,预警,布袋除尘器压力损失偏低,预警
2025-01-31 00:00:00,4,预警,布袋除尘器压力损失偏低,预警
2025-01-31 00:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:00:00,5,报警,烟气中颗粒物（PM）排放超标,报警
2025-01-31 00:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:05:00,5,报警,低炉温焚烧,报警
2025-01-31 00:05:00,4,报警,低炉温焚烧,报警
2025-01-31 00:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:10:00,5,报警,低炉温焚烧,报警
2025-01-31 00:10:00,4,报警,低炉温焚烧,报警
2025-01-31 00:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:15:00,5,报警,低炉温焚烧,报警
2025-01-31 00:15:00,4,报警,低炉温焚烧,报警
2025-01-31 00:15:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:20:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:20:00,4,报警,低炉温焚烧,报警
2025-01-31 00:20:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:20:00,5,报警,低炉温焚烧,报警
2025-01-31 00:25:00,4,报警,低炉温焚烧,报警
2025-01-31 00:25:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:25:00,5,报警,低炉温焚烧,报警
2025-01-31 00:25:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:30:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 00:30:00,4,报警,低炉温焚烧,报警
2025-01-31 00:30:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:30:00,5,报警,低炉温焚烧,报警
2025-01-31 00:35:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:35:00,4,报警,低炉温焚烧,报警
2025-01-31 00:35:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:35:00,5,报警,低炉温焚烧,报警
2025-01-31 00:40:00,5,报警,低炉温焚烧,报警
2025-01-31 00:40:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:40:00,4,报警,低炉温焚烧,报警
2025-01-31 00:40:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:45:00,4,报警,低炉温焚烧,报警
2025-01-31 00:45:00,5,报警,低炉温焚烧,报警
2025-01-31 00:45:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:45:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:50:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:50:00,4,报警,低炉温焚烧,报警
2025-01-31 00:50:00,5,报警,低炉温焚烧,报警
2025-01-31 00:50:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 00:55:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 00:55:00,5,报警,低炉温焚烧,报警
2025-01-31 00:55:00,4,报警,低炉温焚烧,报警
2025-01-31 00:55:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:00:00,5,报警,低炉温焚烧,报警
2025-01-31 01:00:00,4,报警,低炉温焚烧,报警
2025-01-31 01:05:00,5,报警,低炉温焚烧,报警
2025-01-31 01:05:00,4,报警,低炉温焚烧,报警
2025-01-31 01:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:10:00,4,报警,低炉温焚烧,报警
2025-01-31 01:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:10:00,5,报警,低炉温焚烧,报警
2025-01-31 01:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:15:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:15:00,4,报警,低炉温焚烧,报警
2025-01-31 01:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:15:00,5,报警,低炉温焚烧,报警
2025-01-31 01:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 01:20:00,4,报警,低炉温焚烧,报警
2025-01-31 01:20:00,5,报警,低炉温焚烧,报警
2025-01-31 01:20:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:20:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 01:25:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:25:00,4,报警,低炉温焚烧,报警
2025-01-31 01:25:00,5,报警,低炉温焚烧,报警
2025-01-31 01:25:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:30:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:30:00,5,报警,低炉温焚烧,报警
2025-01-31 01:30:00,4,报警,低炉温焚烧,报警
2025-01-31 01:30:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 01:35:00,4,报警,低炉温焚烧,报警
2025-01-31 01:35:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:35:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:35:00,5,报警,低炉温焚烧,报警
2025-01-31 01:40:00,4,报警,低炉温焚烧,报警
2025-01-31 01:40:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:40:00,5,报警,低炉温焚烧,报警
2025-01-31 01:40:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:45:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:45:00,4,报警,低炉温焚烧,报警
2025-01-31 01:45:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:45:00,5,报警,低炉温焚烧,报警
2025-01-31 01:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 01:50:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:50:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:50:00,4,报警,低炉温焚烧,报警
2025-01-31 01:50:00,5,报警,低炉温焚烧,报警
2025-01-31 01:55:00,4,报警,低炉温焚烧,报警
2025-01-31 01:55:00,5,报警,低炉温焚烧,报警
2025-01-31 01:55:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 01:55:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 01:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-31 02:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 02:00:00,4,报警,低炉温焚烧,报警
2025-01-31 02:00:00,5,报警,低炉温焚烧,报警
2025-01-31 02:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 02:05:00,4,报警,低炉温焚烧,报警
2025-01-31 02:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 02:05:00,5,报警,低炉温焚烧,报警
2025-01-31 02:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 02:10:00,4,报警,低炉温焚烧,报警
2025-01-31 02:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-31 02:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-31 02:10:00,5,报警,低炉温焚烧,报警
2025-01-31 02:15:00,4,报警,低炉温焚烧,报警
