时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-20 00:00:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:00:00,6,报警,烟气中氮氧化物（NOx）排放超标,报警
2025-06-20 00:00:00,6,报警,烟气中颗粒物（PM）排放超标,报警
2025-06-20 00:00:00,6,报警,低炉温焚烧,报警
2025-06-20 00:00:00,6,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-20 00:00:00,6,预警,烟气中氯化氢（HCl）浓度较高,预警
2025-06-20 00:00:00,6,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-20 00:00:00,6,预警,烟气中颗粒物（PM）浓度较高,预警
2025-06-20 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-20 00:00:00,6,报警,烟气中氯化氢（HCl）排放超标,报警
2025-06-20 00:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-20 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-06-20 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-20 00:00:00,6,报警,烟气中一氧化碳（CO）排放超标,报警
2025-06-20 00:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-20 00:05:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:05:00,6,报警,低炉温焚烧,报警
2025-06-20 00:10:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:10:00,6,报警,低炉温焚烧,报警
2025-06-20 00:15:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:15:00,6,报警,低炉温焚烧,报警
2025-06-20 00:20:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:20:00,6,报警,低炉温焚烧,报警
2025-06-20 00:25:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:25:00,6,报警,低炉温焚烧,报警
2025-06-20 00:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-20 00:30:00,6,报警,低炉温焚烧,报警
2025-06-20 00:30:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:35:00,6,报警,低炉温焚烧,报警
2025-06-20 00:35:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-20 00:40:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:40:00,6,报警,低炉温焚烧,报警
2025-06-20 00:45:00,6,报警,低炉温焚烧,报警
2025-06-20 00:45:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:50:00,6,报警,低炉温焚烧,报警
2025-06-20 00:50:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:55:00,6,报警,低炉温焚烧,报警
2025-06-20 00:55:00,6,预警,瞬时低炉温焚烧,预警
2025-06-20 00:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-20 01:00:00,6,预警,烟气中颗粒物（PM）浓度较高,预警
2025-06-20 01:00:00,6,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-20 01:00:00,6,预警,烟气中氯化氢（HCl）浓度较高,预警
