时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-02-05 00:00:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:00:00,4,报警,低炉温焚烧,报警
2025-02-05 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 00:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-02-05 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 00:00:00,6,预警,布袋除尘器压力损失偏低,预警
2025-02-05 00:00:00,4,预警,布袋除尘器压力损失偏低,预警
2025-02-05 00:00:00,6,报警,低炉温焚烧,报警
2025-02-05 00:00:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:05:00,4,报警,低炉温焚烧,报警
2025-02-05 00:05:00,6,报警,低炉温焚烧,报警
2025-02-05 00:05:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:05:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 00:10:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:10:00,4,报警,低炉温焚烧,报警
2025-02-05 00:10:00,6,报警,低炉温焚烧,报警
2025-02-05 00:10:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-02-05 00:15:00,4,报警,低炉温焚烧,报警
2025-02-05 00:15:00,6,报警,低炉温焚烧,报警
2025-02-05 00:15:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:15:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:20:00,4,报警,低炉温焚烧,报警
2025-02-05 00:20:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 00:20:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:20:00,6,报警,低炉温焚烧,报警
2025-02-05 00:25:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:25:00,6,报警,低炉温焚烧,报警
2025-02-05 00:25:00,4,报警,低炉温焚烧,报警
2025-02-05 00:25:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-02-05 00:30:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:30:00,6,报警,低炉温焚烧,报警
2025-02-05 00:30:00,4,报警,低炉温焚烧,报警
2025-02-05 00:30:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:35:00,4,报警,低炉温焚烧,报警
2025-02-05 00:35:00,6,报警,低炉温焚烧,报警
2025-02-05 00:35:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:35:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:40:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:40:00,6,报警,低炉温焚烧,报警
2025-02-05 00:40:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:40:00,4,报警,低炉温焚烧,报警
2025-02-05 00:45:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:45:00,4,报警,低炉温焚烧,报警
2025-02-05 00:45:00,6,报警,低炉温焚烧,报警
2025-02-05 00:45:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:50:00,6,报警,低炉温焚烧,报警
2025-02-05 00:50:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:50:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:50:00,4,报警,低炉温焚烧,报警
2025-02-05 00:55:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 00:55:00,6,报警,低炉温焚烧,报警
2025-02-05 00:55:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 00:55:00,4,报警,低炉温焚烧,报警
2025-02-05 01:00:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:00:00,6,报警,低炉温焚烧,报警
2025-02-05 01:00:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:00:00,4,报警,低炉温焚烧,报警
2025-02-05 01:05:00,6,报警,低炉温焚烧,报警
2025-02-05 01:05:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:05:00,4,报警,低炉温焚烧,报警
2025-02-05 01:05:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:10:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:10:00,4,报警,低炉温焚烧,报警
2025-02-05 01:10:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:10:00,6,报警,低炉温焚烧,报警
2025-02-05 01:15:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:15:00,6,报警,低炉温焚烧,报警
2025-02-05 01:15:00,4,报警,低炉温焚烧,报警
2025-02-05 01:15:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-02-05 01:20:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:20:00,6,报警,低炉温焚烧,报警
2025-02-05 01:20:00,4,报警,低炉温焚烧,报警
2025-02-05 01:20:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:25:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:25:00,6,报警,低炉温焚烧,报警
2025-02-05 01:25:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:25:00,4,报警,低炉温焚烧,报警
2025-02-05 01:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-02-05 01:30:00,6,报警,低炉温焚烧,报警
2025-02-05 01:30:00,4,报警,低炉温焚烧,报警
2025-02-05 01:30:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:30:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:35:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:35:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:35:00,6,报警,低炉温焚烧,报警
2025-02-05 01:35:00,4,报警,低炉温焚烧,报警
2025-02-05 01:40:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:40:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:40:00,6,报警,低炉温焚烧,报警
2025-02-05 01:40:00,4,报警,低炉温焚烧,报警
2025-02-05 01:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-02-05 01:45:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:45:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:45:00,6,报警,低炉温焚烧,报警
2025-02-05 01:45:00,4,报警,低炉温焚烧,报警
2025-02-05 01:50:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:50:00,4,报警,低炉温焚烧,报警
2025-02-05 01:50:00,6,报警,低炉温焚烧,报警
2025-02-05 01:50:00,6,预警,瞬时低炉温焚烧,预警
2025-02-05 01:55:00,4,报警,低炉温焚烧,报警
2025-02-05 01:55:00,4,预警,瞬时低炉温焚烧,预警
2025-02-05 01:55:00,6,预警,瞬时低炉温焚烧,预警
