时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-23 00:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:00:00,5,报警,低炉温焚烧,报警
2025-01-23 00:00:00,3,预警,氨逃逸偏高,预警
2025-01-23 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:00:00,5,预警,布袋除尘器压力损失偏低,预警
2025-01-23 00:00:00,5,报警,烟气中颗粒物（PM）排放超标,报警
2025-01-23 00:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:05:00,5,报警,低炉温焚烧,报警
2025-01-23 00:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:10:00,5,报警,低炉温焚烧,报警
2025-01-23 00:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:15:00,5,报警,低炉温焚烧,报警
2025-01-23 00:20:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:20:00,5,报警,低炉温焚烧,报警
2025-01-23 00:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:25:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:25:00,5,报警,低炉温焚烧,报警
2025-01-23 00:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:30:00,5,报警,低炉温焚烧,报警
2025-01-23 00:30:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:35:00,5,报警,低炉温焚烧,报警
2025-01-23 00:35:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:40:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:40:00,5,报警,低炉温焚烧,报警
2025-01-23 00:45:00,5,报警,低炉温焚烧,报警
2025-01-23 00:45:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:50:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 00:50:00,5,报警,低炉温焚烧,报警
2025-01-23 00:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 00:55:00,5,报警,低炉温焚烧,报警
2025-01-23 00:55:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 01:00:00,5,报警,低炉温焚烧,报警
2025-01-23 01:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-23 01:00:00,3,预警,氨逃逸偏高,预警
2025-01-23 01:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-23 01:04:00,3,预警,焚烧炉出口氧含量偏高,预警
